Actual LASK1,Actual LASK2,Actual LASK3,Actual LASK4,Predicted LASK1,Predicted LASK2,Predicted LASK3,Predicted LASK4
5189,5073,4992,5096,5186.256976190475,5065.895833333334,4996.944309523809,5092.9158333333335
5193,5068,4992,5104,5189.0025,5079.930357142857,4968.065166666667,5094.895238095238
5192,5076,4989,5101,5191.64,5077.020559523809,4990.7624166666665,5098.56
5193,4981,4997,5116,5185.449166666667,5021.033333333333,4990.92,5093.46
5192,5076,4940,5096,5195.121666666666,4939.735833333333,4943.479166666667,5092.5098333333335
4429,5068,5005,5108,3889.9598333333333,5063.3161190476185,4999.245833333333,5099.647666666668
5196,5033,4785,5104,5192.978833333334,4851.64,4821.5841666666665,5066.338571428571
5189,5072,4988,5093,5186.891,5076.800666666667,4992.3296666666665,5086.05411904762
5177,5080,5005,4485,5172.283333333334,5081.568666666666,5005.754666666666,4667.327333333334
5176,5080,5020,4053,5180.4203333333335,5081.3929761904765,5013.163222222222,4711.10125
3716,3996,4085,5093,4184.1475,4164.7491666666665,4154.77,5029.26
5193,5085,5000,4873,5197.318333333333,5091.635,4997.626666666667,4842.32
5169,5073,4992,5101,5179.86,5073.854333333333,4992.245,5096.53
5204,5080,5021,4200,5198.146190476191,5085.376833333334,5024.526,4254.2575
5185,5073,4985,5096,5188.609166666667,5039.884404761905,4991.708833333334,5077.724166666667
5069,5081,4993,5097,5069.61375,5079.388666666667,4992.761694444444,5098.148785714286
5189,5093,5008,4205,5191.3713333333335,5089.757619047619,5011.721666666667,4211.01
5181,5073,4993,5101,5178.604444444444,5080.586706349206,4991.458523809523,5100.533833333334
5184,5080,4992,5093,5178.058666666668,5076.035666666667,4991.275,5097.791666666667
5185,5080,4996,5108,5168.742666666667,5061.275500000001,4984.790571428572,5084.2789999999995
5213,4201,5012,5108,5191.145,4221.496,4995.555833333334,5107.478666666667
4884,5097,4993,5096,4967.520333333333,5090.550333333333,4993.152166666668,5098.682333333332
5196,5076,4993,5101,5192.189821428574,5081.659607142858,4988.45757142857,5098.414428571427
5192,5056,5000,5097,5192.382833333333,4930.9529999999995,5002.835166666668,5079.252
5177,5088,4960,5096,5184.707833333333,5078.359404761904,4941.595833333333,5096.116317460317
5201,5088,4989,5084,5181.809833333334,5043.188833333333,4872.0528095238105,5081.010214285714
